Name,id,Health Labels,Ingredients_with_weights,Ingredients_only,raw_ingr
Grilled Corn With Pear Chorizo Salad,e46397,"['GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE']","['36.7 grams Corns', '5.71 grams Chorizo', '1.43 grams Feta Cheese', '51.24 grams Pears', '1.43 grams Unsalted Butter', '0.65 grams Garlic', '0.54 grams Parsley', '2.3 grams Balsamic Vinegar']","['Corns', 'Unsalted Butter', 'Parsley', 'Garlic', 'Pears', 'Feta Cheese', 'Chorizo', 'Balsamic Vinegar']","[{'retainedWeight': 36.70205429308947, 'exactFood': 'Corns'}, {'retainedWeight': 5.7124706152023945, 'exactFood': 'Chorizo'}, {'retainedWeight': 1.4281176538005986, 'exactFood': 'Feta Cheese'}, {'retainedWeight': 51.23894638564647, 'exactFood': 'Pears'}, {'retainedWeight': 1.4281176538005986, 'exactFood': 'Unsalted Butter'}, {'retainedWeight': 0.64768331105452, 'exactFood': 'Garlic'}, {'retainedWeight': 0.5397360925454333, 'exactFood': 'Parsley'}, {'retainedWeight': 2.3028739948605157, 'exactFood': 'Balsamic Vinegar'}]"
Asiago Chicken Pasta With Sun-dried Tomatoes And Spinach,e54396,"['MEDITERRANEAN', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE']","['39.15 grams Chicken breast', '0.78 grams Garlic', '5.18 grams Spinach', '19.58 grams pasta', '0.0 grams Paprika', '0.0 grams Salt', '0.03 grams Salt', '1.55 grams Sun-dried tomatoes', '12.84 grams Asiago cheese', '20.89 grams Half and half']","['pasta', 'Garlic', 'Sun-dried tomatoes', 'Chicken breast', 'Paprika', 'Spinach', 'Half and half', 'Salt', 'Asiago cheese']","[{'retainedWeight': 39.15360289605815, 'exactFood': 'Chicken breast'}, {'retainedWeight': 0.7768702680438019, 'exactFood': 'Garlic'}, {'retainedWeight': 5.179135120292012, 'exactFood': 'Spinach'}, {'retainedWeight': 19.576801448029077, 'exactFood': 'pasta'}, {'retainedWeight': 0.0, 'exactFood': 'Paprika'}, {'retainedWeight': 0.0, 'exactFood': 'Salt'}, {'retainedWeight': 0.034508713279492745, 'exactFood': 'Salt'}, {'retainedWeight': 1.5537405360876038, 'exactFood': 'Sun-dried tomatoes'}, {'retainedWeight': 12.836162699698736, 'exactFood': 'Asiago cheese'}, {'retainedWeight': 20.889178318511117, 'exactFood': 'Half and half'}]"
Fennel And Blood Orange Salad,e41320,"['PLANT_BASED', 'VEGAN', 'VEGETARIAN', 'PESCATARIAN', 'PALEO', 'SPECIFIC_CARBS', 'MEDITERRANEAN', 'DASH', 'DAIRY_FREE', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'MILK_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE', 'KOSHER']","['51.27 grams blood oranges', '38.16 grams fennel', '2.61 grams white wine vinegar', '0.26 grams fresh basil', '0.39 grams garlic', '0.2 grams salt', '0.08 grams black pepper', '7.04 grams extra virgin olive oil']","['fresh basil', 'extra virgin olive oil', 'fennel', 'blood oranges', 'black pepper', 'salt', 'white wine vinegar', 'garlic']","[{'retainedWeight': 51.266999315128714, 'exactFood': 'blood oranges'}, {'retainedWeight': 38.156736131488934, 'exactFood': 'fennel'}, {'retainedWeight': 2.609007598734286, 'exactFood': 'white wine vinegar'}, {'retainedWeight': 0.2609007598866618, 'exactFood': 'fresh basil'}, {'retainedWeight': 0.3913511398101429, 'exactFood': 'garlic'}, {'retainedWeight': 0.19567556990507146, 'exactFood': 'salt'}, {'retainedWeight': 0.07500896846361071, 'exactFood': 'black pepper'}, {'retainedWeight': 7.044320516582572, 'exactFood': 'extra virgin olive oil'}]"
Vegetable Pulao,e55115,"['VEGETARIAN', 'PESCATARIAN', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE', 'KOSHER']","['14.0 grams Basmati Rice', '16.65 grams Onion', '13.96 grams Tomato', '5.49 grams Green Peas', '2.84 grams French Beans', '4.62 grams Carrot', '0.07 grams Bay Leaf', '0.39 grams Cinnamon', '0.05 grams Cloves', '0.07 grams Masala', '0.06 grams Turmeric', '0.2 grams Chilli Powder', '0.3 grams Coriander Leaves', '4.24 grams Oil', '0.65 grams Ghee', '35.87 grams Water', '0.56 grams Salt']","['Onion', 'Tomato', 'Masala', 'French Beans', 'Cinnamon', 'Turmeric', 'Coriander Leaves', 'Oil', 'Bay Leaf', 'Chilli Powder', 'Water', 'Carrot', 'Ghee', 'Basmati Rice', 'Green Peas', 'Salt', 'Cloves']","[{'retainedWeight': 13.99850194878382, 'exactFood': 'Basmati Rice'}, {'retainedWeight': 16.646867182337516, 'exactFood': 'Onion'}, {'retainedWeight': 13.960668159733054, 'exactFood': 'Tomato'}, {'retainedWeight': 5.485899412361228, 'exactFood': 'Green Peas'}, {'retainedWeight': 2.8375341787595567, 'exactFood': 'French Beans'}, {'retainedWeight': 4.615722264193584, 'exactFood': 'Carrot'}, {'retainedWeight': 0.06810082029138075, 'exactFood': 'Bay Leaf'}, {'retainedWeight': 0.3934714061279777, 'exactFood': 'Cinnamon'}, {'retainedWeight': 0.0454005468609205, 'exactFood': 'Cloves'}, {'retainedWeight': 0.07188419919645746, 'exactFood': 'Masala'}, {'retainedWeight': 0.05675068357615062, 'exactFood': 'Turmeric'}, {'retainedWeight': 0.20430246087414228, 'exactFood': 'Chilli Powder'}, {'retainedWeight': 0.30267031240101944, 'exactFood': 'Coriander Leaves'}, {'retainedWeight': 4.237384373685914, 'exactFood': 'Oil'}, {'retainedWeight': 0.6463272296500535, 'exactFood': 'Ghee'}, {'retainedWeight': 35.8664320201272, 'exactFood': 'Water'}, {'retainedWeight': 0.5620828010400053, 'exactFood': 'Salt'}]"
Baked Lasagna Roll Ups,e23239,"['PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE']","['19.57 grams spinach', '3.45 grams egg', '29.95 grams ricotta cheese', '2.57 grams Parmesan cheese', '0.0 grams salt', '0.05 grams pepper', '0.02 grams ground nutmeg', '7.73 grams ham', '9.28 grams lasagna noodles', '27.39 grams spaghetti sauce']","['Parmesan cheese', 'spinach', 'ground nutmeg', 'egg', 'lasagna noodles', 'ricotta cheese', 'spaghetti sauce', 'pepper', 'salt', 'ham']","[{'retainedWeight': 19.565359291689298, 'exactFood': 'spinach'}, {'retainedWeight': 3.4507386959245894, 'exactFood': 'egg'}, {'retainedWeight': 29.952411880625434, 'exactFood': 'ricotta cheese'}, {'retainedWeight': 2.5657320559608023, 'exactFood': 'Parmesan cheese'}, {'retainedWeight': 0.0, 'exactFood': 'salt'}, {'retainedWeight': 0.05003571109090654, 'exactFood': 'pepper'}, {'retainedWeight': 0.01897906282758524, 'exactFood': 'ground nutmeg'}, {'retainedWeight': 7.72965467887108, 'exactFood': 'ham'}, {'retainedWeight': 9.275585614645296, 'exactFood': 'lasagna noodles'}, {'retainedWeight': 27.391503008365017, 'exactFood': 'spaghetti sauce'}]"
Tuscan Garlic Chicken,e64822,"['SUGAR_CONSCIOUS', 'MEDITERRANEAN', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED']","['4.14 grams all-purpose flour', '0.26 grams salt', '0.13 grams black pepper', '0.02 grams dried basil', '0.02 grams oregano', '30.72 grams chicken breast', '2.98 grams Olive oil', '0.38 grams garlic', '5.25 grams bell peppers', '5.3 grams chicken broth', '7.51 grams spinach', '5.25 grams heavy cream', '0.71 grams cornstarch', '10.77 grams milk', '6.56 grams parmesan cheese', '20.02 grams fettucini']","['parmesan cheese', 'cornstarch', 'spinach', 'fettucini', 'all-purpose flour', 'heavy cream', 'Olive oil', 'dried basil', 'chicken breast', 'oregano', 'black pepper', 'salt', 'bell peppers', 'garlic', 'chicken broth', 'milk']","[{'retainedWeight': 4.137672100843063, 'exactFood': 'all-purpose flour'}, {'retainedWeight': 0.25911859422157196, 'exactFood': 'salt'}, {'retainedWeight': 0.12799199031941208, 'exactFood': 'black pepper'}, {'retainedWeight': 0.015447309176480769, 'exactFood': 'dried basil'}, {'retainedWeight': 0.02206758453782967, 'exactFood': 'oregano'}, {'retainedWeight': 30.7180776766589, 'exactFood': 'chicken breast'}, {'retainedWeight': 2.9791239126070055, 'exactFood': 'Olive oil'}, {'retainedWeight': 0.3751489371367618, 'exactFood': 'garlic'}, {'retainedWeight': 5.2520851200034615, 'exactFood': 'bell peppers'}, {'retainedWeight': 5.2962202890791215, 'exactFood': 'chicken broth'}, {'retainedWeight': 7.507265978017136, 'exactFood': 'spinach'}, {'retainedWeight': 5.2520851200034615, 'exactFood': 'heavy cream'}, {'retainedWeight': 0.7061627051986105, 'exactFood': 'cornstarch'}, {'retainedWeight': 10.76898125446088, 'exactFood': 'milk'}, {'retainedWeight': 6.5631754863572676, 'exactFood': 'parmesan cheese'}, {'retainedWeight': 20.01937594137903, 'exactFood': 'fettucini'}]"
Sweet Curried Sausages,e04123,"['DAIRY_FREE', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'MILK_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE']","['0.51 grams oil', '9.04 grams onions', '19.68 grams beef sausages', '15.41 grams potatoes', '0.14 grams curry powder', '14.47 grams can tomatoes', '9.5 grams coconut milk', '8.68 grams beef stock', '0.05 grams brown sugar', '14.47 grams can chickpeas', '1.75 grams sultanas', '5.21 grams green apple', '1.09 grams parsley']","['beef sausages', 'can tomatoes', 'beef stock', 'sultanas', 'oil', 'green apple', 'curry powder', 'coconut milk', 'parsley', 'can chickpeas', 'brown sugar', 'onions', 'potatoes']","[{'retainedWeight': 0.5064159240167896, 'exactFood': 'oil'}, {'retainedWeight': 9.043141500299814, 'exactFood': 'onions'}, {'retainedWeight': 19.677875904652396, 'exactFood': 'beef sausages'}, {'retainedWeight': 15.409513116510885, 'exactFood': 'potatoes'}, {'retainedWeight': 0.14469026400479704, 'exactFood': 'curry powder'}, {'retainedWeight': 14.469026400479704, 'exactFood': 'can tomatoes'}, {'retainedWeight': 9.502268625999646, 'exactFood': 'coconut milk'}, {'retainedWeight': 8.681415840287823, 'exactFood': 'beef stock'}, {'retainedWeight': 0.05425884900179889, 'exactFood': 'brown sugar'}, {'retainedWeight': 14.469026400479704, 'exactFood': 'can chickpeas'}, {'retainedWeight': 1.748340690057964, 'exactFood': 'sultanas'}, {'retainedWeight': 5.208849504172694, 'exactFood': 'green apple'}, {'retainedWeight': 1.0851769800359778, 'exactFood': 'parsley'}]"
Chili & Cheese Ham Strata,e68724,"['PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'SULPHITE_FREE']","['39.0 grams sourdough bread', '2.65 grams butter', '13.26 grams cheddar cheese', '10.61 grams ham', '5.3 grams green chilies', '1.87 grams onion', '0.09 grams cilantro', '10.05 grams eggs', '17.12 grams 2% milk', '0.0 grams salt', '0.02 grams cumin', '0.02 grams ground mustard']","['ground mustard', 'cheddar cheese', 'eggs', '2% milk', 'butter', 'onion', 'cilantro', 'sourdough bread', 'salt', 'green chilies', 'cumin', 'ham']","[{'retainedWeight': 38.99987625430513, 'exactFood': 'sourdough bread'}, {'retainedWeight': 2.6537685580717216, 'exactFood': 'butter'}, {'retainedWeight': 13.256929181577478, 'exactFood': 'cheddar cheese'}, {'retainedWeight': 10.605721743976503, 'exactFood': 'ham'}, {'retainedWeight': 5.302771672630991, 'exactFood': 'green chilies'}, {'retainedWeight': 1.8704976620769844, 'exactFood': 'onion'}, {'retainedWeight': 0.093524883102268, 'exactFood': 'cilantro'}, {'retainedWeight': 10.053924933663792, 'exactFood': 'eggs'}, {'retainedWeight': 17.11505360800441, 'exactFood': '2% milk'}, {'retainedWeight': 0.0, 'exactFood': 'salt'}, {'retainedWeight': 0.024550281814760423, 'exactFood': 'cumin'}, {'retainedWeight': 0.023381220775962306, 'exactFood': 'ground mustard'}]"
Creamy Spaghetti,e48956,"['EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE']","['15.19 grams spaghetti', '30.39 grams ground beef', '45.58 grams spaghetti sauce', '7.6 grams cream cheese', '1.25 grams parmesan cheese']","['parmesan cheese', 'spaghetti', 'ground beef', 'spaghetti sauce', 'cream cheese']","[{'retainedWeight': 15.193042130847726, 'exactFood': 'spaghetti'}, {'retainedWeight': 30.38608426169545, 'exactFood': 'ground beef'}, {'retainedWeight': 45.57912639254318, 'exactFood': 'spaghetti sauce'}, {'retainedWeight': 7.596521065423863, 'exactFood': 'cream cheese'}, {'retainedWeight': 1.245226149489782, 'exactFood': 'parmesan cheese'}]"
Rainbow Smoothie,e25783,"['VEGETARIAN', 'PESCATARIAN', 'MEDITERRANEAN', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_OIL_ADDED', 'SULPHITE_FREE', 'KOSHER']","['5.31 grams kiwifruit', '10.38 grams canned pineapple', '10.0 grams canned peaches', '3.08 grams blackberries', '3.08 grams frozen raspberries', '38.46 grams yoghurt', '20.08 grams skim milk', '3.85 grams blueberries', '5.77 grams frozen strawberries']","['frozen strawberries', 'yoghurt', 'blueberries', 'canned peaches', 'kiwifruit', 'canned pineapple', 'skim milk', 'blackberries', 'frozen raspberries']","[{'retainedWeight': 5.307684192121304, 'exactFood': 'kiwifruit'}, {'retainedWeight': 10.384599506324289, 'exactFood': 'canned pineapple'}, {'retainedWeight': 9.999984709793761, 'exactFood': 'canned peaches'}, {'retainedWeight': 3.0769183722442337, 'exactFood': 'blackberries'}, {'retainedWeight': 3.0769183722442337, 'exactFood': 'frozen raspberries'}, {'retainedWeight': 38.461479653052926, 'exactFood': 'yoghurt'}, {'retainedWeight': 20.077045280956035, 'exactFood': 'skim milk'}, {'retainedWeight': 3.8461479653052923, 'exactFood': 'blueberries'}, {'retainedWeight': 5.769221947957939, 'exactFood': 'frozen strawberries'}]"
Roast Leg Of Lamb With Fennel Butter,e05261,"['SUGAR_CONSCIOUS', 'KETO_FRIENDLY', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE']","['2.04 grams butter', '0.42 grams fennel seeds', '0.36 grams garlic', '0.75 grams Dijon mustard', '0.57 grams soy sauce', '0.17 grams black pepper', '0.03 grams rosemary', '0.65 grams olive oil', '75.97 grams leg of lamb', '11.27 grams red wine', '7.67 grams low-salt chicken broth', '0.12 grams Fresh rosemary']","['leg of lamb', 'soy sauce', 'low-salt chicken broth', 'Fresh rosemary', 'butter', 'rosemary', 'fennel seeds', 'black pepper', 'red wine', 'olive oil', 'garlic', 'Dijon mustard']","[{'retainedWeight': 2.0411707983208434, 'exactFood': 'butter'}, {'retainedWeight': 0.4168588250091863, 'exactFood': 'fennel seeds'}, {'retainedWeight': 0.35936105604240204, 'exactFood': 'garlic'}, {'retainedWeight': 0.7456741912753778, 'exactFood': 'Dijon mustard'}, {'retainedWeight': 0.5749776896678432, 'exactFood': 'soy sauce'}, {'retainedWeight': 0.16530608577950495, 'exactFood': 'black pepper'}, {'retainedWeight': 0.025155273922968138, 'exactFood': 'rosemary'}, {'retainedWeight': 0.6468499008763237, 'exactFood': 'olive oil'}, {'retainedWeight': 75.9689272473638, 'exactFood': 'leg of lamb'}, {'retainedWeight': 11.269562717489727, 'exactFood': 'red wine'}, {'retainedWeight': 7.666369195571243, 'exactFood': 'low-salt chicken broth'}, {'retainedWeight': 0.11978701868080067, 'exactFood': 'Fresh rosemary'}]"
Traditional English Trifle,e31884,"['VEGETARIAN', 'PESCATARIAN', 'PEANUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'KOSHER']","['7.39 grams sponge cake', '0.0 grams Strawberry jam', '0.0 grams jam', '6.65 grams plain biscuits', '8.65 grams sherry', '4.69 grams maraschino cherries', '1.01 grams cherry', '10.08 grams eggs', ""3.32 grams confectioners' sugar"", '28.6 grams milk', '27.95 grams heavy cream', '1.66 grams almonds', '0.0 grams strawberries']","['sherry', 'Strawberry jam', 'maraschino cherries', 'strawberries', 'eggs', 'heavy cream', 'plain biscuits', 'almonds', 'jam', 'sponge cake', ""confectioners' sugar"", 'cherry', 'milk']","[{'retainedWeight': 7.385711989713019, 'exactFood': 'sponge cake'}, {'retainedWeight': 0.0, 'exactFood': 'Strawberry jam'}, {'retainedWeight': 0.0, 'exactFood': 'jam'}, {'retainedWeight': 6.647028979268539, 'exactFood': 'plain biscuits'}, {'retainedWeight': 8.645972368763903, 'exactFood': 'sherry'}, {'retainedWeight': 4.689340945849535, 'exactFood': 'maraschino cherries'}, {'retainedWeight': 1.0111391414317108, 'exactFood': 'cherry'}, {'retainedWeight': 10.0820830335765, 'exactFood': 'eggs'}, {'retainedWeight': 3.3235144896342694, 'exactFood': ""confectioners' sugar""}, {'retainedWeight': 28.604979769682167, 'exactFood': 'milk'}, {'retainedWeight': 27.948472037263233, 'exactFood': 'heavy cream'}, {'retainedWeight': 1.6617572448171347, 'exactFood': 'almonds'}, {'retainedWeight': 0.0, 'exactFood': 'strawberries'}]"
"Oven-roasted Cauliflower With Garlic, Olive Oil And Lemon Juice",e77542,"['VEGETARIAN', 'PESCATARIAN', 'SPECIFIC_CARBS', 'MEDITERRANEAN', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE', 'KOSHER']","['83.52 grams cauliflower', '7.66 grams extra-virgin olive oil', '1.21 grams garlic', '4.33 grams lemon juice', '0.44 grams salt', '0.21 grams black pepper', '2.64 grams Parmesan', '0.0 grams chives']","['extra-virgin olive oil', 'Parmesan', 'black pepper', 'cauliflower', 'salt', 'garlic', 'chives', 'lemon juice']","[{'retainedWeight': 83.51971943789502, 'exactFood': 'cauliflower'}, {'retainedWeight': 7.6636615966802575, 'exactFood': 'extra-virgin olive oil'}, {'retainedWeight': 1.2063171031607565, 'exactFood': 'garlic'}, {'retainedWeight': 4.328549605459194, 'exactFood': 'lemon juice'}, {'retainedWeight': 0.43792621094003165, 'exactFood': 'salt'}, {'retainedWeight': 0.20578350583678467, 'exactFood': 'black pepper'}, {'retainedWeight': 2.6380425400279317, 'exactFood': 'Parmesan'}, {'retainedWeight': 0.0, 'exactFood': 'chives'}]"
Oatmeal Walnut Cookies,e59706,"['KIDNEY_FRIENDLY', 'VEGETARIAN', 'PESCATARIAN', 'PEANUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'KOSHER']","['22.6 grams Quick Oats', '13.65 grams Brown sugar', '9.42 grams white sugar', '0.79 grams Vanilla Extract', '8.1 grams eggs', '14.71 grams all-purpose flour', '21.37 grams Butter', '0.22 grams Baking Soda', '0.49 grams ground cinnamon', '0.4 grams salt', '8.26 grams Walnuts']","['Vanilla Extract', 'all-purpose flour', 'eggs', 'Butter', 'Quick Oats', 'Baking Soda', 'white sugar', 'ground cinnamon', 'Brown sugar', 'salt', 'Walnuts']","[{'retainedWeight': 22.59668942486504, 'exactFood': 'Quick Oats'}, {'retainedWeight': 13.652166527522628, 'exactFood': 'Brown sugar'}, {'retainedWeight': 9.415287260360433, 'exactFood': 'white sugar'}, {'retainedWeight': 0.7908841298702765, 'exactFood': 'Vanilla Extract'}, {'retainedWeight': 8.097147043909972, 'exactFood': 'eggs'}, {'retainedWeight': 14.711386344313176, 'exactFood': 'all-purpose flour'}, {'retainedWeight': 21.372702081018183, 'exactFood': 'Butter'}, {'retainedWeight': 0.21655160698828996, 'exactFood': 'Baking Soda'}, {'retainedWeight': 0.48959493753874256, 'exactFood': 'ground cinnamon'}, {'retainedWeight': 0.3956760726469812, 'exactFood': 'salt'}, {'retainedWeight': 8.26191457096628, 'exactFood': 'Walnuts'}]"
Orange Beets,e76404,"['VEGETARIAN', 'PESCATARIAN', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'PEANUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE', 'KOSHER']","['75.08 grams beets', '1.57 grams butter', '0.66 grams orange rind', '20.53 grams fresh orange juice', '0.56 grams lemon juice', '0.08 grams salt', '0.04 grams pepper', '1.48 grams almonds']","['orange rind', 'butter', 'almonds', 'pepper', 'lemon juice', 'beets', 'salt', 'fresh orange juice']","[{'retainedWeight': 75.0822758720337, 'exactFood': 'beets'}, {'retainedWeight': 1.5669991941338264, 'exactFood': 'butter'}, {'retainedWeight': 0.6621123355495041, 'exactFood': 'orange rind'}, {'retainedWeight': 20.52548240203463, 'exactFood': 'fresh orange juice'}, {'retainedWeight': 0.5609562843134489, 'exactFood': 'lemon juice'}, {'retainedWeight': 0.08276404194368801, 'exactFood': 'salt'}, {'retainedWeight': 0.04000262027278254, 'exactFood': 'pepper'}, {'retainedWeight': 1.4794072497184105, 'exactFood': 'almonds'}]"
Tuscan-style Bean Soup,e04024,"['DASH', 'DAIRY_FREE', 'EGG_FREE', 'MILK_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE', 'KOSHER']","['0.83 grams olive oil', '7.69 grams onion', '0.37 grams garlic', '7.32 grams red bell pepper', '44.28 grams low sodium chicken broth', '14.76 grams canned whole tomatoes', '16.97 grams kidney beans', '0.1 grams fresh thyme', '0.92 grams spinach', '6.46 grams pasta', '0.3 grams black pepper']","['pasta', 'spinach', 'low sodium chicken broth', 'canned whole tomatoes', 'onion', 'red bell pepper', 'fresh thyme', 'black pepper', 'kidney beans', 'olive oil', 'garlic']","[{'retainedWeight': 0.8302770425384141, 'exactFood': 'olive oil'}, {'retainedWeight': 7.687750393874204, 'exactFood': 'onion'}, {'retainedWeight': 0.3690120189059618, 'exactFood': 'garlic'}, {'retainedWeight': 7.318738374968243, 'exactFood': 'red bell pepper'}, {'retainedWeight': 44.281442268715416, 'exactFood': 'low sodium chicken broth'}, {'retainedWeight': 14.760480756238472, 'exactFood': 'canned whole tomatoes'}, {'retainedWeight': 16.97455286967424, 'exactFood': 'kidney beans'}, {'retainedWeight': 0.09840320504158982, 'exactFood': 'fresh thyme'}, {'retainedWeight': 0.9225300472649045, 'exactFood': 'spinach'}, {'retainedWeight': 6.457710330854331, 'exactFood': 'pasta'}, {'retainedWeight': 0.29910269192422734, 'exactFood': 'black pepper'}]"
